Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
Paytm|IN|Payments|4|5|yes|unknown|API Key|S|HIGH|Official MCP (22 stars)
Cashfree|IN|Payments|4|4|yes|unknown|API Key|S|HIGH|Official MCP on npm
Juspay|IN|Payments|4|4|yes|unknown|API Key|S|HIGH|Official MCP; Docker
Practo|IN|Healthcare|3|4|no|unknown|OAuth|M|HIGH|#1 healthcare; partnership required
Tata 1mg|IN|Healthcare|4|4|no|unknown|JWT|S|HIGH|Best-documented healthcare API
Namma Yatri|IN|Transport|4|3|yes|unknown|Ed25519|S|HIGH|Open-source; Beckn MCP exists
IRCTC/Indian Railways|IN|Transport|3|5|yes|unknown|API Key (RapidAPI)|S|HIGH|5+ MCP servers exist
Uber India|IN|Transport|4|4|no|unknown|OAuth 2.0|M|MED|Global API
Cleartrip|IN|Travel|4|3|no|unknown|API Key + JWT|M|MED|Best-documented OTA API
RedBus|IN|Travel|3|3|no|unknown|OAuth|M|MED|B2B SeatSeller registration
Freshdesk|IN|Support|4|4|yes|unknown|API Key Basic Auth|S|HIGH|MCP: effytech (46 stars)
Freshservice|IN|ITSM|4|3|yes|unknown|API Key Basic Auth|S|MED|MCP: effytech (18 stars)
# ============================================================
# INDONESIA
# ============================================================
Tokopedia (TikTok Shop)|ID|Marketplace|4|5|yes|unknown|OAuth 2.0|L|HIGH|100M+ MAU; 1 basic MCP exists
Shopee ID|ID|Marketplace|4|5|no|unknown|HMAC-SHA256 + OAuth2|M|HIGH|150M+ monthly visits; sandbox
Bukalapak|ID|Marketplace|2|3|no|unknown|Basic Auth/API Token|M|LOW|Community docs only; declining
Blibli|ID|Marketplace|3|3|no|unknown|OAuth2 + HMAC-SHA256|M|MED|Java/PHP client libraries
Lazada ID|ID|Marketplace|4|4|no|unknown|App Key + SHA256|M|HIGH|Node.js SDK; multi-country
GoFood|ID|Food Delivery|3|4|no|unknown|OAuth 2.0|M|HIGH|500K+ restaurants; sandbox
GrabFood ID|ID|Food Delivery|4|4|no|yes|OAuth 2.0|M|HIGH|OpenAPI spec; official SDKs in 4 languages
Moka POS|ID|POS|4|3|no|unknown|OAuth 2.0|M|HIGH|1M+ downloads; app marketplace
Pawoon|ID|POS|3|2|no|unknown|API Key/Token|M|MED|Webhook support; requires activation
Midtrans|ID|Payments|5|5|no|unknown|Basic Auth (Server Key)|M|HIGH|Best-documented; 7 SDKs; sandbox by default
Xendit|ID|Payments|5|4|no|unknown|Basic Auth (Secret Key)|M|HIGH|SDKs in 6 languages; Postman; v3 API
DOKU|ID|Payments|4|3|no|unknown|Shared Key + HMAC|M|MED|Sandbox; SNAP BI compliant
Nicepay|ID|Payments|3|3|no|unknown|Merchant Token (HMAC)|M|MED|SNAP BI compliant
Durianpay|ID|Payments|4|2|no|unknown|API Key (Bearer)|M|MED|Clean modern API; 10K req/day
Fazz|ID|Payments|4|2|no|unknown|API Key/Bearer|M|MED|ID + SG markets
BCA|ID|Banking|4|5|no|unknown|OAuth2 + API Key + HMAC|L|HIGH|35M+ customers; SDKs in 5 languages
BRI|ID|Banking|4|5|no|unknown|OAuth2 + Custom Signature|L|HIGH|130M+ customers; award-winning portal
Mandiri|ID|Banking|3|5|no|unknown|OAuth2/SNAP|L|MED|30M+ customers; requires corporate account
BNI|ID|Banking|3|4|no|unknown|API Key + OAuth|L|MED|Free sandbox
Indodax|ID|Crypto|4|4|no|unknown|API Key + HMAC-SHA512|M|HIGH|6M+ users; REST + WebSocket; demo sandbox
Tokocrypto|ID|Crypto|4|3|no|unknown|API Key + HMAC-SHA256|M|MED|Migrating to Binance engine
RajaOngkir|ID|Logistics|4|4|no|unknown|API Key|S|HIGH|De facto standard; 20+ couriers; free tier
Shipper|ID|Logistics|3|3|no|unknown|API Key|M|HIGH|Full end-to-end; requires UAT
AnterAja|ID|Logistics|4|3|no|unknown|Access Key + Secret Key|S|MED|Excellent Slate docs; webhooks
Ninja Van ID|ID|Logistics|3|3|no|unknown|OAuth 2.0|M|MED|Multi-country; sandbox
Deliveree|ID|Logistics|4|2|no|unknown|API Key|S|MED|Only freight with public API
Mekari (Jurnal+Talenta+Qontak+Klikpajak)|ID|SaaS Platform|4|4|no|unknown|HMAC-SHA256|L|HIGH|60K+ businesses; Indonesia's SaaS OS
Accurate Online|ID|Accounting|4|4|no|unknown|OAuth 2.0|M|HIGH|200K+ businesses; 20+ year track record
