Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
ESF (Electronic Invoices KZ)|KZ|E-invoicing/Fiscal|3|5|no|no|EDS certificate (RSA + GOST)|XL|HIGH|Mandatory for all VAT businesses; SOAP; high barrier
NCA Layer (KZ)|KZ|Digital Signatures|3|4|no|unknown|Certificate|M|HIGH|Mandatory signing component for all eGov; JS/REST API
eGov.kz Open Data API|KZ|Government/Open Data|3|4|no|no|API Key|M|HIGH|3,000+ open datasets; Elasticsearch queries
Salyk.kz / KGD|KZ|Tax Authority|1|5|no|no|EDS certificate|XL|MED|No public REST API; requires EDS/NCALayer; SONO shutting down
Payme API|UZ|Payment Gateway|4|5|no|no|HTTP Basic (merchant_id:key)|M|HIGH|Dominant UZ payment (~40%); JSON-RPC; sandbox; amounts in tiyins
Click API|UZ|Payment Gateway|4|5|no|no|Custom HMAC (SHA1)|M|HIGH|Major UZ payment (~35%); official SDKs; sandbox; English docs
Uzum Bank/Pay API|UZ|Payment Gateway|3|4|no|no|HTTP Basic|M|HIGH|Part of $1.5B unicorn; webhook-based; Python SDK
UzCard (via PaySys)|UZ|Card Processing|2|4|no|no|Custom partner credentials|L|MED|National card network; best integrated via Payme/Click
HUMO (via PaySys)|UZ|Card Processing|1|4|no|no|Custom partner credentials|XL|LOW|Second UZ card network; no direct public API
Factura.uz API|UZ|E-invoicing|4|4|no|no|OAuth2 Password Grant|M|HIGH|Primary UZ e-invoicing; REST API; English+Russian docs
DIDOX API|UZ|E-invoicing/EDM|3|4|no|no|Partner token + login|M|HIGH|350K+ orgs; sandbox; competitor to Factura.uz; npm SDK
Kapitalbank API (UZ)|UZ|Banking|3|4|no|unknown|OAuth 2.0|M|HIGH|Most advanced UZ banking API; linked to Uzum
Hamkorbank (Payme parent)|UZ|Banking|2|3|no|unknown|API Key|L|MED|Payme parent bank; business API emerging
Humans (UZ super-app)|UZ|Super-app/Banking/Telecom|1|3|no|no|N/A|XL|MED|MVNO+banking+payments; closed ecosystem; 1.4M telecom users
TBC Bank API|GE|Banking/Payments|4|4|no|no|API Key + OAuth 2.0|S|HIGH|GE's most mature API; PSD2 XS2A; sandbox; Postman collections
Bank of Georgia / iPay API|GE|Banking/Payments|4|4|no|no|OAuth 2.0 + JWT|S|HIGH|PSD2 NextGenPSD2; sandbox with demo credentials; npm SDK
Payze API|GE|Payment Gateway|4|2|no|unknown|Token|S|HIGH|Developer-friendly modern API; checkout + subscriptions
Georgian Card|GE|Card Processing|2|3|no|unknown|Certificate|L|LOW|Backend processing infrastructure
rs.ge (Revenue Service GE)|GE|Tax/E-invoicing/Waybills|2|4|no|no|Username+Password + IP whitelist|L|HIGH|Mandatory for all GE businesses; SOAP/WSDL only; Ruby gem best reference
Oris Accounting (GE)|GE|Accounting|2|3|no|unknown|Certificate|L|MED|Dominant GE accounting; local tax compliance
MAIB API (Moldova)|MD|Banking/Payments|4|4|no|unknown|OAuth 2.0|M|HIGH|#1 MD bank; PSD2-aligned; most advanced MD API
Victoriabank API|MD|Banking/Payments|3|3|no|unknown|OAuth 2.0|M|HIGH|#2 MD bank; EU-influenced stack
MAIB eCommerce|MD|Payment Gateway|3|4|no|unknown|API Key + HMAC|M|HIGH|Dominant MD payment gateway
paynet.md|MD|Payment Aggregator|3|3|no|unknown|API Key|M|MED|Wide acceptance; utility payments
SFS Portal / e-Factura (MD)|MD|Tax/E-invoicing|3|4|no|unknown|MPass / Certificate|M|HIGH|Mandatory MD e-filing; machine-readable API
MConnect (MD)|MD|Government Data Exchange|3|3|no|unknown|Certificate|L|HIGH|X-Road based interoperability platform
MPass (MD)|MD|National Authentication|3|3|no|unknown|SAML/OAuth|M|HIGH|National SSO for all government services
Nova Poshta Moldova|MD|Courier/Delivery|3|2|no|unknown|API Key|M|MED|Well-documented API from UA parent
Ameriabank VPOS API|AM|Payment Gateway|2|3|no|no|Client ID + Username + Password|M|MED|Test environment; payment acceptance only
ARCA (Armenian Card)|AM|National Card Processing|2|4|no|no|Username + Password (bank-issued)|M|HIGH|National card infrastructure; sandbox at ipaytest.arca.am
IDram Merchant API|AM|Mobile Wallet/Payments|2|3|no|no|Secret Key + Merchant ID|M|MED|900K+ wallet users; payment acceptance; docs on request
Telcell Partner API|AM|Payment Terminals/Gateway|1|3|no|no|API credentials (partner-only)|M|MED|4700+ terminals; partner agreement required
Evocabank|AM|Banking|1|2|no|no|N/A|XL|LOW|No public API despite digital focus
Tax.am (SRC)|AM|Tax Authority|3|3|no|no|Certificate (XML/SOAP)|M|HIGH|Mandatory tax filing; API for automated submission
Armenian Fiscal System (CRK)|AM|Fiscal/Cash Register|3|3|no|no|Certificate|M|HIGH|Mandatory for all retail
e-invoice.am|AM|E-invoicing|3|3|no|no|Certificate (SOAP/REST)|M|HIGH|Government-mandated e-invoicing
Ameriabank Open Banking|AM|Banking|3|3|no|unknown|OAuth 2.0|M|HIGH|Most advanced AM bank API; PSD2-inspired
Ardshinbank|AM|Banking|1|3|no|no|N/A|XL|LOW|#2 AM bank; no public API
IDBank|AM|Digital Banking|3|2|no|unknown|OAuth 2.0|M|MED|Digital-first bank; REST API
Evocabank (digital)|AM|Banking|1|2|no|no|N/A|XL|LOW|No public API
Staff.am|AM|Job Board|1|3|no|no|N/A|L|LOW|#1 AM job board; no API
GG Taxi|AM|Ride-hailing|1|3|no|no|N/A|XL|LOW|Dominant AM ride-hailing; no API
Belarusbank (ERIP)|BY|Banking/Payments|2|4|no|no|Certificate-based|L|MED|ERIP API for payments; largest BY bank
Priorbank API|BY|Banking|3|3|no|unknown|OAuth 2.0|M|MED|Most Western-oriented BY bank API; PSD2-inspired
MTBank API|BY|Banking|3|3|no|unknown|OAuth 2.0|M|MED|Most developer-friendly BY bank; QR payments
bePaid API|BY|Payment Gateway|4|3|no|unknown|Token/Signature|S|HIGH|Well-documented; card payments + ERIP; good docs
WebPay|BY|Payment Processing|3|2|no|unknown|Token|M|MED|Card payments + ERIP integration
ERIP (AIS Raschet)|BY|National Payment System|3|5|no|no|Certificate|L|HIGH|Universal in Belarus; every citizen uses; service provider API
Currency.com|BY|Crypto Exchange|3|2|no|unknown|API Key + HMAC|M|MED|HTP-regulated; REST + WebSocket API
Evropochta API|BY|Courier/Delivery|3|3|no|unknown|Token|M|HIGH|#1 BY private courier; tracking + shipment API
Rabota.by|BY|Job Board|3|3|no|unknown|Token|M|MED|#1 BY job board; employer API
Mango Office API|RU/KZ/BY|Cloud Telephony/PBX|2|4|no|no|API Key + SHA256 signature|M|MED|#1 RU cloud PBX; 60K+ businesses; async stats; poor docs
Zadarma API|RU/KZ/BY/UZ|Cloud PBX/VoIP|3|3|no|no|API Key + HMAC-SHA1|S|MED|Virtual PBX; 80+ countries; webhooks
Voximplant API|RU|CPaaS|4|3|no|no|API Key + Account ID|M|HIGH|Voice/video/messaging; VoxEngine JS scripting; sandbox
MTS Exolve|RU|CPaaS|3|4|no|unknown|Token|M|HIGH|Major telecom CPaaS; voice/SMS/verification
Sipuni API|RU|Cloud Telephony|3|2|no|unknown|Token|M|LOW|SMB telephony; CRM integration
Telfin API|RU|Cloud PBX|3|2|no|unknown|Token|M|LOW|Virtual PBX; routing
UIS (Uiscom) API|RU/KZ|Call Tracking/PBX|3|2|no|no|API Key|M|MED|Call tracking + virtual PBX
Calltouch API|RU|Call Tracking|3|2|no|no|API Token|S|MED|Marketing attribution; niche but useful
CoMagic API|RU|Call Tracking|3|2|no|unknown|Token|M|MED|Call tracking + analytics
MBANK API|KG|Digital Banking|1|4|no|no|N/A|XL|LOW|#1 KG digital bank; 3M+ users; completely closed
O!Dengi API|KG|Mobile Wallet|1|3|no|no|N/A|XL|LOW|Dominant KG mobile wallet; no public API
Balance.kg API|KG|Mobile Wallet|3|3|no|unknown|API Key|M|MED|Major KG wallet; merchant API documented
Elsom API|KG|National Mobile Money|3|3|no|unknown|API Key|M|HIGH|Government-backed mobile money; merchant API
FreedomPay (KG)|KG|Payment Gateway|3|2|no|unknown|API Key|M|MED|Freedom Holding; growing
Tunduk API|KG|Government Interoperability|2|4|no|no|EDS + X-Road certificates|L|MED|487 agencies connected; X-Road based; formal onboarding required
salyk.kg|KG|Tax Authority|2|3|no|no|Certificate/EDS|L|MED|Mandatory KG tax filing
KKM Online (KG)|KG|Fiscal System|3|3|no|unknown|Certificate|M|MED|Mandatory KG fiscalization
Job.kg|KG|Job Board|1|3|no|no|N/A|L|LOW|#1 KG job board; no API
Alif Bank/Pay API|TJ|Banking/Payments|1|3|no|no|Partner-only credentials|L|HIGH|Leading TJ fintech; $100M valuation; 1M+ users; no public docs
Korti Milli|TJ|National Card Network|1|2|no|no|Certificate (bank integration)|XL|LOW|TJ national card; no public API
Tcell SMS API|TJ|SMS Gateway|3|2|no|unknown|API Key|S|MED|Largest TJ operator; bulk SMS
Kapital Bank API (AZ)|AZ|Banking/Payments|3|4|no|no|Certificate + Token|M|HIGH|AZ's first open API portal; part of national Open Banking
PASHA Bank API|AZ|Banking|2|3|no|unknown|OAuth 2.0 / API Key|L|MED|Corporate bank; B2B API; gated
ABB Business API|AZ|Banking|2|4|no|unknown|Certificate/Token|L|MED|Largest AZ state bank; integrated with Central Bank Open Banking
Goldenpay API|AZ|Payment Gateway|3|3|no|no|AuthKey + MerchantName + MD5|S|HIGH|Largest AZ online payment; simple 2-endpoint REST
EPoint API|AZ|Payment Gateway + Loyalty|3|2|no|unknown|Token|M|MED|Payment processing + cashback system
Hesab.az|AZ|Payment Platform|3|2|no|unknown|Token|M|MED|Bill payments; merchant API
m10 Wallet|AZ|Mobile Wallet|1|4|no|no|N/A|XL|LOW|5M+ users; no public API; PASHA Holding
ASAN Xidmet (AZ)|AZ|e-Government|1|4|no|no|ASAN Login (SSO)|XL|LOW|Award-winning e-gov; limited public API
E-Qaime (AZ e-invoice)|AZ|E-invoicing/Fiscal|3|4|no|unknown|EDS Certificate|M|HIGH|Mandatory for all AZ B2B; API available
Azercell SMS API|AZ|SMS Gateway|3|3|no|unknown|Login/Token|M|MED|Largest AZ MNO; 5M+ subscribers
Wolt AZ|AZ|Food Delivery|4|2|no|unknown|Token|S|MED|Merchant integration API; same global platform
Bolt Business API (AZ/GE)|AZ/GE|Ride-hailing/Delivery|2|3|no|no|OAuth/Token|M|MED|Delivery API active; ride-hailing API explicitly unavailable
Bina.az|AZ|Real Estate|1|3|no|no|N/A|XL|LOW|#1 AZ real estate; no API
DaData API|RU|Address/Company Data|5|4|no|no|API Key + Secret Key|S|HIGH|Unique RU data service; free tier; no Western equivalent; top MCP candidate
YooMoney API|RU|Digital Wallet|3|3|no|unknown|OAuth 2.0|M|MED|Wallet operations; P2P; Sber ecosystem
BestChange API|RU|Crypto Exchange Aggregator|3|2|no|unknown|API Key|S|MED|Rates monitoring across exchangers; unique service
Sravni.ru API|RU|Insurance Comparison|2|3|no|unknown|API Key|M|MED|Quotes/comparisons; affiliate API
Cherehapa API|RU|Travel Insurance|3|2|no|unknown|API Key|S|MED|Travel insurance quotes/policies; partner API
OSAGO API (RSA)|RU|Auto Insurance|3|3|no|unknown|Certificate|M|MED|Mandatory auto insurance; KBM checks
Yandex Direct API|RU/KZ/BY/UZ|Search/Display Advertising|4|5|no|no|OAuth 2.0|M|HIGH|Dominant CIS ad platform; complex units system; sandbox
VK Ads API (myTarget)|RU/KZ/BY|Social Advertising|3|4|no|no|OAuth 2.0|M|HIGH|VK/OK/Mail.ru ads; consolidated from myTarget
Telegram Ads API|RU/KZ/BY/UZ|Channel Advertising|3|4|no|unknown|Token|M|HIGH|Telegram channel advertising; growing rapidly
Click.ru API|RU|Ad Management (agencies)|3|3|no|unknown|Token|M|MED|Bulk ad management; agency-focused
eLama API|RU/KZ/BY|Ad Management Aggregator|3|3|no|unknown|Token|M|MED|Multi-platform ad manager; Yandex+VK+Google
Yandex Business API|RU/KZ|Local Business Advertising|2|3|no|unknown|OAuth 2.0|M|MED|Business listings; reviews
VK API|RU/KZ/BY/UZ/KG/AM/AZ/TJ/MD/GE|Social Network|3|5|yes|no|OAuth 2.0 / Token|M|HIGH|100M+ MAU; comprehensive API; existing MCP (check quality)
Telegram Bot API|RU/KZ/BY/UZ/KG/AM/AZ/TJ/MD/GE|Messaging/Bots|5|5|yes|no|Bot Token|S|HIGH|Multiple existing MCPs; 80M+ RU users; payments+miniapps
OK (Odnoklassniki) API|RU/KZ/BY/UZ/KG/TJ/MD/AM/AZ/GE|Social Network|3|3|no|no|OAuth 2.0 + MD5 signature|M|LOW|35+ demographic; specific niche; non-standard auth
Dzen (ex-Yandex Zen)|RU|Content Platform|2|3|no|unknown|OAuth 2.0|M|MED|Publisher API for content/analytics
RuTube API|RU|Video Platform|3|2|no|unknown|Token|M|MED|YouTube alternative; video upload/management
TenChat|RU|Business Social Network|1|2|no|unknown|Unknown|XL|LOW|LinkedIn alternative; limited API
Yandex Metrica API|RU/KZ/BY/UZ|Web Analytics|4|5|no|no|OAuth 2.0|S|HIGH|#1 CIS web analytics; Reporting + Management API
AppMetrica API|RU/KZ/BY/UZ|Mobile Analytics|4|4|no|unknown|OAuth 2.0|M|HIGH|Yandex mobile analytics; push + crash reports
Roistat API|RU|Marketing Analytics|3|3|no|no|API Key|M|MED|End-to-end analytics; webhooks; paid only
Mindbox API|RU|CDP/Marketing Automation|4|3|no|no|Token (Mindbox secretKey)|M|MED|Enterprise CDP; async/sync operations; sandbox
DataLens (Yandex)|RU/KZ/BY|BI/Visualization|3|3|no|unknown|OAuth 2.0 / IAM|M|MED|Free BI tool; dashboards/datasets API
Visiology|RU|BI Platform|3|2|no|unknown|Token|M|LOW|Import substitution BI; REST API
Unisender API|RU/KZ/BY/UA|Email Marketing|3|4|no|no|API Key|S|HIGH|#1 CIS email platform; 200K+ users
SendPulse API|RU/KZ/BY/UA/UZ|Multi-channel Marketing|4|4|no|no|OAuth 2.0|M|HIGH|Email+SMS+Push+Chatbots; CIS-originated; global
DashaMail API|RU|Email Marketing|3|2|no|no|API Key|S|LOW|Simple Russian email service
Sendsay API|RU|Enterprise Email|3|2|no|unknown|Token|M|LOW|Enterprise email marketing
eSputnik API|RU/UA|Omnichannel Marketing|3|3|no|unknown|Token|M|MED|Email+SMS+Push; UA origin
SMS.ru|RU|SMS Gateway|3|3|no|no|API Key|S|HIGH|Simple developer-friendly SMS API
SMSC.ru|RU/KZ/BY/UA|SMS Gateway|3|3|no|no|Login + Password / API Key|S|MED|Multi-channel: SMS/Viber/VK/push
SMS Aero|RU|SMS Platform|3|2|no|unknown|API Key|S|MED|SMS sending; templates; stats
Devino Telecom|RU|Omnichannel Messaging|3|3|no|unknown|Token|M|MED|SMS/push/Viber/VK/WhatsApp
Mobizon|KZ/RU|SMS Gateway|3|3|no|unknown|API Key|M|MED|Good docs; KZ numbers supported
Infobip (CIS)|RU/KZ|Omnichannel Messaging|4|3|no|unknown|API Key|M|MED|Global CPaaS; SMS/WhatsApp/Viber; CIS presence
Pushwoosh|RU|Push Notifications|3|2|no|unknown|API Key|M|LOW|RU-origin push platform; global
Yandex Cloud APIs|RU/KZ/BY|Cloud IaaS/PaaS/ML|4|5|no|yes|IAM Token / OAuth 2.0|XL|HIGH|Full cloud ecosystem; gRPC+REST; per-service MCP recommended
VK Cloud|RU/KZ/BY|Cloud IaaS/PaaS|3|4|no|unknown|Token|L|MED|OpenStack-based; S3/K8s/ML
Selectel API|RU/KZ/BY|Cloud/Hosting|3|3|no|no|Token (X-Token)|L|MED|RU cloud; OpenStack-compatible
Reg.ru API|RU/KZ/BY|Domain/Hosting|3|3|no|unknown|Token|M|MED|#1 domain registrar
Beget API|RU|Hosting|3|2|no|unknown|Token|M|MED|Popular with developers
TimeWeb Cloud API|RU|Cloud/Hosting|3|2|no|unknown|Token|M|MED|Cloud infrastructure; S3
Yandex Maps API|RU/KZ/BY/UZ/KG/AM/GE/AZ/TJ/MD|Maps/Geocoding/Routing|4|5|no|no|API Key|M|HIGH|Dominant CIS maps; multiple APIs; best coverage
2GIS API|RU/KZ/KG/UZ|Maps/Business Directory|4|4|no|no|API Key|S|HIGH|Most detailed local business data; geocoding/routing/places; free demo
CDEK API v2|RU/KZ/BY/AM/KG/UZ|Courier/Delivery|4|5|no|no|OAuth 2.0 (client credentials)|S|HIGH|60K+ business clients; sandbox; webhooks; top logistics MCP candidate
Boxberry API|RU/KZ/BY|Parcel Delivery|2|3|no|no|Token|M|LOW|Legacy API design; no sandbox; minimal docs
DPD Russia API|RU/KZ/BY|Courier|2|3|no|no|SOAP (clientKey + clientNumber)|L|LOW|SOAP/XML; 2010s design; low priority
Yandex Delivery API|RU/KZ/BY|Last-mile Delivery|3|4|no|unknown|OAuth 2.0|M|HIGH|B2B delivery API; tracking/pricing
